title,artist,duration,album
4ever (no data),Dazegxd,,Daze's Game 3!
4U,Maanu,,4U
4x4,Balkar Ankhila,,4x4
5 am (lofi),Zaeden,,5 am
5 BAJE,The Siege,,5 BAJE
5 Fingers of Death,Vichaar,,MTV Hustle 4 - Episode 4
5 Words (feat. Gora Advani),Anmol Wadhwa,,5 Words
52 Bars,Karan Aujla,,Four You
6 For 6,Central Cee,,6 For 6
"60 Minutes of Relaxation Music - 1 Hour Song to Fall Asleep Fast, Wellness Sleep Track",The Relaxation Masters,,"60 Minutes of Relaxation Music - 1 Hour Song to Fall Asleep Fast, Wellness Sleep Track"
60 Pound,Gulab Sidhu,,60 Pound
65535,Shoko Nakagawa,,65535
67-410,Mata,,Młody Matczak
6:30,Russ Millions,2:18,6:30
6am in Brighton,ArrDee,,6am in Brighton
6am in Dubai (feat. YV & Buni),Russ Millions,,6am in Dubai
7 Years,Lukas Graham,,Lukas Graham
7.7 Magnitude,Karan Aujla,,P-POP CULTURE
8 ASLE (feat. Gurlez Akhtar),"Sukha, Chani Nattan, & Prodgk",,UNDISPUTED
8 Case,Jas Dhaliwal,,8 Case
8 Parche,Baani Sandhu,,8 Parche
8 Raflaan,Mankirt Aulakh,1:56,8 Raflaan
80 Degrees (feat. Amaal),Karan Aujla,,Bacthafu*up
90's Type Love,Navaan Sandhu,,Ambarsaria
"90-90 Nabbe Nabbe (From ""Jatt Nuu Chudail Takri"")",Gippy Grewal,3:15,"90-90 Nabbe Nabbe (From ""Jatt Nuu Chudail Takri"")"
90s Dance Mashup,JA MUSIC,,90s Dance Mashup
90s wedding Dance,JA MUSIC,,90s wedding Dance
94 Flow,Big Boi Deep & Byg Byrd,,94 Flow
9841,Sajjan Raj Vaidya,,9841
99%,Geetbrajesh,,99%
9:45,Prabh Singh,1:58,9:45
9を眺めた魚達 - Fish looking at 9,957,,Fish looking at 9
A Good Man (feat. Aurora Olivas),Reed Wonder,,A Good Man
A Little Death,The Neighbourhood,,I Love You. (10th Anniversary Edition)
A Little More,Ed Sheeran,,A Little More
a lot,21 Savage,,i am > i was
A Man Without Love,Engelbert Humperdinck,,A Man Without Love
A Sky Full of Stars,Coldplay,4:28,Ghost Stories
A Sky Full of Stars,Taron Egerton,,Sing 2 (Original Motion Picture Soundtrack)
"A Sky Full of Stars (Live at the Royal Albert Hall, London)",Coldplay,,Ghost Stories Live 2014
A Sky Full of Stars (Robin Schulz Edit),Coldplay,,Prayer
A Tender Moon Tempo,Vivy (Vo.Kairi Yagi),4:47,A Tender Moon Tempo
a thousand years,Christina Perri,,a thousand years
A/Z,SawanoHiroyuki[nZk],,o1
A/Z <MODv> (feat. mizuki),SawanoHiroyuki[nZk],,Avid / Hands Up to the Sky
A/Z(instrumental) - A/Z (Instrumental),SawanoHiroyuki[nZk],,A/Z / aLIEz
A1,Dhaliwal,,A1
Aa,Roach Killa,,Aa
Aa Bhi Jaa Sanam,Atif Aslam,3:13,Prince (Original Motion Picture Soundtrack)
Aa Bhi Rut Badlne Lagi,Nusrat Fateh Ali Khan,,Sham Savere vol.19
Aa Chal Ke Tujhe,"Kishore Kumar, Lata Mangeshkar, Papon, Shreya Ghoshal",,Kishore Sings For Kishore
"Aa Ja Diljaaniya (From ""Daaru Na Peenda Hove"")",Amrinder Gill,,"Aa Ja Diljaaniya (From ""Daaru Na Peenda Hove"")"
Aa Jao Meri Tamanna,Pritam,,Ajab Prem Ki Ghazab Kahani (Original Motion Picture Soundtrack)
Aabaad Barbaad,Arijit Singh,,Ludo (Original Motion Picture Soundtrack)
Aadat,Ninja,,Aadat
Aadat,Yo Yo Honey Singh,,51 Glorious Days
"Aadat (From ""Kalyug"")",Atif Aslam,,Kalyug (Original Motion Picture Soundtrack)
Aaftaab,The Local Train,,Vaaqif
Aag,DIVINE,,Aag
Aag,Faheem Abdullah,,Lost;Found
Aahatein,Agnee,3:38,Kaise Ho Tum
Aahatein,Samyak Prasana,,Aahatein
"Aahista Aahista (From ""Bachna Ae Haseeno"")",Vishal-Shekhar,,Bachna Ae Haseeno
Aaj Bhi,Vishal Mishra,,Aaj Bhi
Aaj Bhi 2,Vishal Mishra,4:19,Aaj Bhi 2
AAJ BHI AAP,KALAM INK & Placidchills,,AAJ BHI AAP
Aaj Din Chadheya,Stavya Kaila,,Aaj Din Chadheya
Aaj Kal Zindagi,SHANKAR-EHSAAN-LOY,,Wake Up Sid (Original Motion Picture Soundtrack)
"Aaj Ki Raat (From ""Stree 2"")",Sachin-Jigar,,"Aaj Ki Raat (From ""Stree 2"")"
AAJ PHIR,"ARIJIT SINGH,, SAMIRA  KOPPIKAR, ARKO, LAXMIKANT-PYARELAL, and AZIZ QAISI",,HATE STORY 2
Aaj Phir Dil Roya | आज फिर दिल रोया | Bollywood Romantic Song 90's,Khushboo Kumari,,Aaj Phir Dil Roya | आज फिर दिल रोया | Bollywood Romantic Song 90's
Aaj Sajeya,Goldie Sohel,,Aaj Sajeya
Aaj Zid,Arijit Singh,4:12,Aksar 2 (Original Motion Picture Soundtrack)
Aaj Zid (Jhankar),Arijit Singh,,Aksar 2 (Jhankar)
Aaja Piya Tohe Pyar Doon,"Lata Mangeshkar, Manna Dey, Sanam, Aishwarya Majmudar",4:12,Nightingale - Lata Mangeshkar
Aaja We Mahiya,Imran Khan,,Unforgettable
Aam Jahe Munde,Parmish Verma,,Aam Jahe Munde
Aamaar Dugga,Monali Thakur,,Aamaar Dugga
Aankhein Khuli,"Lata Mangeshkar, Udit Narayan, Udbhav, Manohar Shetty, Ishaan, Shweta Pandit, Sonali Bhatawdekar, Pritha Mazumdar, and Shahrukh Khan",,Mohabbatein
"Aankhon Ki Gustaakhiyan Title Track (From ""Aankhon Ki Gustaakhiyan"")",Vishal Mishra,,"Aankhon Ki Gustaakhiyan Title Track (From ""Aankhon Ki Gustaakhiyan"")"
Aankhon Mein Doob Jaane Ko,THE 9TEEN,,Aankhon Mein Doob Jaane Ko
Aankhon Mein Doob Jaane Ko (Slowed),THE 9TEEN,,Aankhon Mein Doob Jaane Ko
Aankhon Ne Maara,Farhan Khan & Mr Doss,,Alif Laila (Part 2)
Aankhon Se Batana,Dikshant,3:42,Aankhon Se Batana
Aaoge Tum Kabhi,The Local Train,,Aalas Ka Pedh
Aap (feat. Nine9 Beats),Ammaz Ali,,Aap
Aap Ka Aana Dil Dhadkana,Kumar Sanu,,Kurukshetra
Aap Ki Ankhon Mein Kuch,"Kishore Kumar, Lata Mangeshkar, Papon, Shreya Ghoshal",,Moments With Lata
Aap Ki Nazron Ne Samjha,Jonita Gandhi,,Aap Ki Nazron Ne Samjha
Aap Ki Nazron Ne Samjha,Siddharth Slathia,,Aap Ki Nazron Ne Samjha - Siddhath Slathia
Aap Ki Nazron Ne Samjha,"Lata Mangeshkar, Manna Dey, Sanam, Aishwarya Majmudar",,Meri Awaaz Suno - Lata Mangeshkar
AAP KI NAZRON NE SAMJHA - SANAM,Sanam,3:07,Aap Ki Nazron Ne Samjha - Sanam
"Aap Ki Yaad, 2.0",Ahmed Jahanzeb,,"Aap Ki Yaad, 2.0"
"Aap Nazar Aaye (From ""Bada Naam Karenge"")","Anurag Saikia, Nakul Chugh, & JUNO",,Bada Naam Karenge (Original Series Soundtrack)
Aapke Pyaar Mein Hum,Alka Yagnik,,Raaz
"Aarzu (feat. JANI, Nabeel Akbar & Talha Anjum)",Jokhay,,Aarzu
"Aasa Kooda (From ""Think Indie"")",Sai Abhyankkar,3:36,"Aasa Kooda (From ""Think Indie"")"
Aasa Kooda x Sadqay,Gautam,,Aasa Kooda X Love Nwantiti
Aasan Nahin Yahan,Arijit Singh,3:35,Aashiqui 2
Aashiq,Billa Sonipat Ala,,Still Untitled
Aashiq Purana (feat. Adaab Kharoud),Kaka,,Aashiq Purana
Aashiq Tera,Sohail Sen,4:55,Happy Bhag Jayegi (Original Motion Picture Soundtrack)
Aashiqui (The Love Theme),Mithoon,2:43,Aashiqui 2
Aashiqui 2 Mashup(Remix By Kiran Kamath),Arijit Singh,,Aashiqui 2 Mashup
Aashiqui Aa Gayi,Arijit Singh,,Radhe Shyam
Aashiqui Aa Gayi Lofi Flip(Remix By Iampratheek),Mithoon,,Aashiqui Aa Gayi Lofi Flip
Aasman Rootha,"Anurag Saikia, Swanand Kirkire, & JUNO",3:27,Panchayat Season 3 (Music from the Series)
Aathi,Anirudh Ravichander,,Kaththi (Original Motion Picture Soundtrack)
Aavan Jaavan (Movie: WAR 2),Pritam,3:46,WAR2
Aawaara Angaara,Faheem Abdullah,,Tere Ishk Mein
Aawara Shaam Hai,Meet Bros.,,Aawara Shaam Hai
Aawara Sham Hai,Sick X Vibe,,Aawara Sham Hai
Aaya Na Tu,Arjun Kanungo,,Aaya Na Tu
Aaya Sawan Ka Pawan Mahina,Chandra Bhushan Pandit,,Aaya Sawan Ka Pawan Mahina
Aayat,"Arijit Singh, Mujtaba Aziz Naza, Altamash Faridi, Farhan Sabri, A.M. Turaz, and Nasir Faraaz",,Bajirao Mastani (Original Motion Picture Soundtrack)
Aaye Haaye (feat. Nora Fatehi),Karan Aujla,,Aaye Haaye
Aaye Ho Meri Zindagi Mein (Female),Alka Yagnik,,Raja Hindustani (Original Motion Picture Soundtrack)
Aaye Ho Meri Zindagi Mein (Male-Jhankar),Udit Narayan,,Raja Hindustani - Jhankar
Aaye Kuch Abr Kuch Sharab Aaye,Mehdi Hassan,,Ghazals By Mehdi Hassan
"Aayega Maza Ab Barsaat Ka (From ""Andaaz"")",Alka Yagnik & Babul Supriyo,,"Aayega Maza Ab Barsaat Ka (From ""Andaaz"")"
Ab Mujhe Ishq Karna Aata Hai,Alif,,Ab Mujhe Ishq Karna Aata Hai
Ab Na Phir Se,Yaseer Desai,,Hacked (Original Motion Picture Soundtrack)
Ab Tere Dil Mein To,"Kumar Sanu, Alka Yagnik, & Chorus",8:21,
Ab Tere Dil Mein To - Jhankar Beats,Gulshan Jhankar Studio,,Open Stage Hits - Vol 98
Abhi Kuch Dino Se,Mohit Chauhan,,Dil Toh Baccha Hai Ji
Abhi Na Jao (Reprise),Twin Strings & Akanksha Bhandari,3:26,Abhi Na Jao (Reprise)
Abhi Na Jao Chhod Kaar (unplugged),"Asha Bhosle, Mohammed Rafi",,Best Of Akriti Kakkar
Abhi Na Jao Chhod Kar,"Asha Bhosle, Mohammed Rafi",,Screen Megastar Dev Anand
Abhi Na Jao Chhod Kar,"Asha Bhosle, Mohammed Rafi",,Old Skool - Classic Rock
Abhi Na Jao Chhod Kar - Acoustic,Kunal Bojewar,,Saregama Bare
Abhi Na Jao Chhod Kar- Romantic Version,Ankush Bhardwaj,,Abhi Na Jao Chhod Kar- Romantic Version
Abhi Na Jao Chod Kar,Sourendro-Soumyojit,,Abhi Na Jao Chod Kar
About Me,Addi Kalyan,,About Me
About You,The 1975,,Being Funny In A Foreign Language
About You,Rokudenashi,,Eureka
About You,Maninder Buttar,,Panchatantra
Abroo (Version 1),Sana Zulfiqar,,Aabroo (Original Motion Picture Soundtrack)
Absolute Soul,鈴木このみ,,TVアニメ「アブソリュート・デュオ」オープニングテーマ「Absolute Soul」
ACABU SO (Super Slowed),KVRXD,,ACABU SO
"Achacho (From ""Aranmanai 4"")","Hiphop Tamizha, Kharesma Ravichandran, Srinisha Jayaseelan, and Vignesh Srikanth",,"Achacho (From ""Aranmanai 4"")"
Acharuli Gandagana (Slowed & Reverb),Georgian Folk,,Acharuli Gandagana (Slowed & Reverb)
Achchha Sila Diya Toone Mere Pyar Ka,Sonu Nigam,,Bewafa Sanam
Achha Lagta Hai,SHANKAR-EHSAAN-LOY,,Aarakshan (Original Motion Picture Soundtrack)
Achina Dexote,Zubeen Garg,,Mur Xuria Geet
Achko Machko,Yo Yo Honey Singh,,Achko Machko
Achome Gaa,Vicky Brilliance,,Achome Gaa
acies,skyfall beats,3:18,acies
acies (Slowed),skyfall beats,,acies (Slowed)
Ada,Sonu Nigam,,Garam Masala (Original Motion Picture Soundtrack)
Ada Sai (Folk Version),"Sachin-Jigar, Devraj Gadhavi, & Vandana Gadhavi",6:58,"Saas, Bahu Aur Flamingo (Original Series Soundtrack)"
ADAMAS,LiSA,,Akai wana who loves it? / ADAMAS
Addict,Seedhe Maut,,DL91 FM
addiction,skyfall beats,,addiction
Adera,KARAHANYUZE,,Karahanyuze 6
Adha Pind,Gurj Sidhu,,Adha Pind
Adhoora,Aanchal Tyagi,3:55,Adhoora
Adhoora Khayal,Shahin Arefin,,Adhoora Khayal
ADHOORE,Vishal-Shekhar,,BREAK KE BAAD
Adhura,Zack Knight,,Adhura
Adhuri Shaam,Surya Pratap Singh Shekhawat,,Adhuri Shaam
Adi Adi Raat,Bilal Saeed,,Twelve By Bilal Saeed
Adi Vandu Ganrayala,Shahir Shivaji Tupvihire,,Adi Vandu Ganrayala
Adictivo,Kail BRL,,Adictivo
Adios (feat. Chase Atlantic),DE'WAYNE,,Adios
"Adjust - superdupersultan, @JANIMUSIC ft. @SharehAkhter - Tired Souls and Heavy Hearts",superdupersultan,3:29,
Admirer,Aden,3:10,Admirer
Admirin' You (feat. Preston Pablo),Karan Aujla,3:35,Making Memories
Admirin' You (Unplugged),Karan Aujla,,Making Memories (Unplugged)
Admiring You - Private Pure Love Train (Hakari Idle Death Gamble Theme) Jujutsu Kaisen Fanmade,Pharozen,,Admiring You - Private Pure Love Train (Hakari Idle Death Gamble Theme) Jujutsu Kaisen Fanmade
ADORENARIN,LEAXY,,ADORENARIN
adrenaline!!!,TrySail,,Tail Wind
Ae Dil Hai Mushkil,Arijit Singh,,Romantic Hits
"Ae Dil Hai Mushkil Title Track (From ""Ae Dil Hai Mushkil"")",Pritam,,"Ae Dil Hai Mushkil Title Track (From ""Ae Dil Hai Mushkil"")"
Ae Kaash,Babbal Rai,,Ae Kaash
Ae Kash Ke Hum (Refresh Version),Mohammed Irfan,,Ae Kash Ke Hum (Refresh Version)
Ae Paro Paro Re,Nitin Dubey,,I Love You Paro
Ae Yaad,Faheem Abdullah,3:21,Ae Yaad
Ae Zindagi Gale Laga Le (The Unwind Mix),Sreerama Chandra,,Bollywood Unwind 4
AEAO,Dynamicduo,,A Giant Step
Afeemi,Sanah Moidutty,,Meri Pyaari Bindu - Afeemi
Afgan,Dhanda Nyoliwala,,Afgan
Afreen,Anmol A,,Afreen
Afreen Afreen,Rahat Fateh Ali Khan,,Coke Studio Season 9: Sound of the Nation
Afreen Afreen | Kabira,Tanushree,,Afreen Afreen | Kabira
Africa,Toto,,Toto IV
Afsanay,Talha Anjum,5:44,Afsanay
Afsos,Anuv Jain,3:12,Afsos
Afsos,Various Artists,3:12,After Midnight
After Dark,Mr.Kitty,,Time
After Dark x Sweater Weather (slowed to perfection),TommyMuzzic,,After Dark x Sweater Weather
After Good S,Hot Months,,Hot Months
After Midnight,AP Dhillon,,The Brownprint
Afterhours,Bir,,Afterhours
AFTERLIFE,CYREX,3:17,AFTERLIFE
AFTERLIFE (Slowed + Reverb),CYREX,,AFTERLIFE (Slowed + Reverb)
AFTERLIFE 2,CYREX,,AFTERLIFE 2
Afureru,kurokumo,,Afureru
Again,YUI,,HOLIDAYS IN THE SUN
Again,SERRA,,L machina's Heartbeat
Again (feat. XXXTENTACION),Noah Cyrus,,Again
Again (Your Lie in April Original Soundtrack),PianoDeuss,,Again (Your Lie in April Original Soundtrack)
"Agar Ho Tum (From ""Mr. And Mrs. Mahi"")",Tanishk Bagchi,,"Agar Ho Tum (From ""Mr. And Mrs. Mahi"")"
"Agar Tum Mil Jao (From ""Zeher"")",Shreya Ghoshal,6:01,Zeher (Original Motion Picture Soundtrack)
"Agar Tum Mil Jao (From ""Zeher"")",Udit Narayan,,Zeher (Original Motion Picture Soundtrack)
Agar Tum Na Hote (The Unwind Mix),Prajakta Shukre,4:26,Agar Tum Na Hote
AGAR TUM SAATH HO,Arijit Singh,,TAMASHA
"Agar Tum Saath Ho / Maahi Ve (From ""T-Series Mixtape"")",Jubin Nautiyal,4:33,"Agar Tum Saath Ho / Maahi Ve (From ""T-Series Mixtape"")"
Age 19,DIVINE & Jass Manak,,Age 19
Agency,Rap Demon,,Agency
Agla Janam,Ranjit Bawa,,Agla Janam
Ahead of Us,Akira Kosemura,,Proof of Us (Soundtrack to the FLAT STUDIO Short Film)
Ahere,Willy Paul,,Ahere
Ahista Ahista,Kazinama,,Ahista Ahista
Ai Uta,Takahashi Rie,3:57,Ai Uta
Aik Bhai,Hashim Nawaz,,Aik Bhai
Aino Scenario,CHiCO with HoneyWorks,,Sekai Ha i Ni Michiteiru
Ainsi bas la vida,Indila,3:35,Mini World (Deluxe)
Ainsi Bas La Vida Funk (Super Slowed),DR MØB,,Ainsi Bas La Vida Funk
airplane thoughts,dhruv,,airplane thoughts
Airplanes (feat. Hayley Williams of Paramore),B.o.B,,B.o.B Presents: The Adventures of Bobby Ray
Airtel Dj Caller,Aniketan Kumar,,Airtel Dj Caller
AIRTEL PHONK,Mashuq Haque,1:32,
Airtel Phonk,Mahin 31,,Airtel Phonk
AIRTEL PHONK,Fonk Star,1:43,
AIRTEL PHONK (ULTRA SLOWED REVERB),"ATLXS, ICEDMANE, & DYSMANE",,Phonk PASSO BEM SOLTO
AIRTEL PHONK: The Sound of a Nation,𝙋𝙝𝙤𝙣𝙞𝙘 𝙈𝙪𝙨𝙞𝙘,1:45,
Airtel Sri Lanka Theme,SK Mathus Music,,Airtel Sri Lanka Theme
Aisa Bana Sanwarna Mubarik Tumhen (Complete Original Recording),Nusrat Fateh Ali Khan,,Complete Original Recordings - The Best
Aisa Banna Sanwarna Mubarik Tumhen,Nusrat Fateh Ali Khan,,"Dil Lagi Bhool Jani, Vol. 2"
AISA DEEWANA,Sonu Nigam,,DIL MAANGE MORE
Aisa Kyun Hota Hai,Alka Yagnik,,Ishq Vishk (Original Motion Picture Soundtrack)
Aisa Sama Na Hota (Refresh Version),Prajakta Shukre,,Aisa Sama Na Hota (Refresh Version)
Aise Ho Tum,Twin Strings,,Aise Ho Tum
Aise Kyun,"Anurag Saikia, Raghav Chaitanya, Raj Shekhar, and Nikhita Gandhi",,Mismatched: Season 1 (Music from the Netflix Original Series)
Aise Kyun (Ghazal Version),"Rekha Bhardwaj, Anurag Saikia, Raj Shekhar, and Mismatched - Cast",,Mismatched: Season 2 (Soundtrack from the Netflix Series)
Aise Na Mujhe Tum Dekho (The Unwind Mix),Ash King,,Bollywood Unwind 2
Aish flow,Dulla,,Entry Time
Aisi Dooriyaan,Himonshu Parikh,,CIRCLES
Aisi Jannat,Laqshay Kapoor,,Aisi Jannat
Aitbaar,Mohitveer,,Aitbaar
Aitbaar (feat. Rackstar),Sabat Batin,,Aitbaar
Aitoka Koitoka,Novelbright,,Assort
Aiuta,GRe4N BOYZ,,A Domo Hajimemashite
Aiuta (feat. Kopi),kobasolo,,Collection ４
Aiuta (Studio Live Version),GRe4N BOYZ,,Aiuta (Studio Live Version)
Aja,Talwiinder,,Aja
AJAB LEHER,Vishal-Shekhar,,BREAK KE BAAD
Ajab Si,K.K.,,Om Shanti Om
Aje Na Jaa,Simran Choudhary,,Aje Na Jaa
Ajib Dastan Hai Yeh - Unplugged,Ananya Dwivedi,,Ajib Dastan Hai Yeh - Unplugged
Ajj Din Chadheya,Pritam,,Love Aaj Kal (Original Motion Picture Soundtrack)
Ajj Din Chadheya,Shinga Schwartz,,Ajj Din Chadheya
Ajnabi,Farhan Khan,,Ajnabi
AJNABI HAWAAYEIN,"SHREYA GHOSHAL, CHIRRANTAN BHATT, & SAMEER",,SHAAPIT THE CURSED
AKAI (Slowed),UdieNnx,,UDIXSTATE
Akala Ko Nung Una (feat. Future Thug),O.C. Dawgs,,Akala Ko Nung Una (feat. Future Thug)
"Akaza's Love Theme (from ""Demon Slayer: Infinity Castle"")",Diego Mitre,,"Akaza's Love Theme (from ""Demon Slayer: Infinity Castle"")"
Akela,DIVINE,,Akela
Akela (feat. Madhukar),Joshi G,,Akela
Akeli Laila,Payal Dev,,Baaghi 4
Akeli Laila,Chanchal,,Akeli Laila
Akh Da Nishana,Amrit Maan,,Akh Da Nishana
Akh Kashnii,Gur Aulakh,,Akh Kashnii
Akhan,Nirvair Pannu,,L.B.E
Akhan,Nimrat Khaira,,Maanmatti
Akhan Nu,Sakshi Ratti,,Akhan Nu
Akhan teri,Surya,,Akhan Teri
"Akhar (From ""Lahoriye"" Soundtrack)",Amrinder Gill,3:41,"Akhar (From ""Lahoriye"" Soundtrack)"
Akhar Ishq De,Akhar Sidhu,,Akhar Ishq De
"Akhian Nimanian (From ""Annhi Dea Mazaak Ae"")",Amrinder Gill,,"Akhian Nimanian (From ""Annhi Dea Mazaak Ae"")"
Akhiyaan,Mitraz,3:12,Akhiyaan
Akhiyaan,Mitraz,3:11,
Akhiyaan,JAI DHIR,,Akhiyaan
Akhiyaan Gulaab,Mitraz,2:52,Teri Baaton Mein Aisa Uljha Jiya
Akhiyaan Gulaab Remix(Remix By Dj Basque),Mitraz,,Akhiyaan Gulaab Remix
Akhiyan,Harkirat Sangha,2:35,MERCURY
Akhiyan,Nirvair Pannu,,PRIME
Akhiyan,Azaan,,Akhiyan
Akhiyan,Rocky - Rakesh Thakur,,Akhiyan
Akhiyan Naal Gal,Navaan Sandhu,,Ambarsaria
Akhiyon Ko Rehne De,Maratab Ali,,Yeh Sila Mila Hai Mujhko
Aks,Siddharth Sharma,,Aks
Aksar Is Duniya Mein,Alka Yagnik,,Dhadkan (Original Motion Picture Soundtrack)
AL NACER!,Sayfalse,,AL NACER!
AL NACER! (Slowed),Sayfalse,,AL NACER!
AL NACER! (Super Slowed),Sayfalse,,AL NACER!
AL NACER! (Ultra Slowed),Sayfalse,2:25,AL NACER!
Alag Aasmaan,Anuv Jain,3:33,Alag Aasmaan
Alag Aasmaan (Acoustic),Anuv Jain,,Alag Aasmaan (Acoustic)
Alan Walker (Remix),Black Arabia,,Alan Walker (Remix)
"Alan Walker, Sasha Alex Sloan (Hero)",Aragon Music,,"Alan Walker, Sasha Alex Sloan (Hero)"
Alawantha Heenaye,Nisal Sathsara,,Alawantha Heenaye
Alchemy (Yui Ver.),LiSA,,Keep The Beats!
Alfaazo,Mitraz,,Alfaazo
Ali Baba (feat. Japji Khaira),Mankirt Aulakh,,Ali Baba
Ali Dam Dam Day Andar,Qari M. Saeed Chishti,,"Ali Dam Dam Day Andar, Vol. 1"
Ali De Malanga Nu,Yasir iqbal Heera Qawwal,,Shah-E-Madina
Ali Nu Man Peer Tu,Hafiz Fayyaz Qadri,,Ali Nu Man Peer Tu
Alibi (with Pabllo Vittar & Yseult),Sevdaliza,,Alibi (with Pabllo Vittar & Yseult)
Alice in 冷凍庫 - Freezer Nonsense Theater,Wolpis Carter,,Hito No Uta
ALIEN FLAME,shometyle,,ALIEN FLAME
aLIEz,SawanoHiroyuki[nZk],,o1
aLIEz,SawanoHiroyuki[nZk],,BEST OF VOCAL WORKS [nZk] 2 -Side SawanoHiroyuki[nZk]
